STATION,DATE,FT NAVD88,M NAVD88,FLOODCLASS,STORMNAME,TYPE,STATIONLAT,STATIONLONG,REGION,YEAR,DOWNSTREAM KM
HOLCOMBROCK,12/8/50,22.83,6.96,FLOOD,NT48,NT,37.501111,-79.262778,PIEDMONT,1950,112.3
CARTERSVILLE,12/9/50,19.42,6.2,ACTION,NT48,NT,37.670833,-78.086111,PIEDMONT,1950,291
RICHWEST,12/10/50,14.85,4.84,FLOOD,NT49,NT,37.563056,-77.547222,PIEDMONT,1950,354.6
SCOTTSVILLE,12/11/50,19.17,5.84,ACTION,NT49,NT,37.797222,-78.491667,PIEDMONT,1950,240.3
RICHWEST,6/15/51,13.53,4.44,FLOOD,NT50,NT,37.563056,-77.547222,PIEDMONT,1951,354.6
CARTERSVILLE,12/22/51,18.16,5.82,ACTION,NT51,NT,37.670833,-78.086111,PIEDMONT,1951,291
RICHWEST,12/22/51,14.53,4.74,FLOOD,NT51,NT,37.563056,-77.547222,PIEDMONT,1951,354.6
RICHWEST,1/30/52,13.82,4.53,FLOOD,NT52,NT,37.563056,-77.547222,PIEDMONT,1952,354.6
LICKRUN,3/12/52,19.07,5.81,FLOOD,NT53,NT,37.773611,-79.784444,MOUNTAIN,1952,0
BUCHANAN,3/12/52,17.73,5.4,FLOOD,NT53,NT,37.530556,-79.679167,MOUNTAIN,1952,57.7
HOLCOMBROCK,3/12/52,20.33,6.2,ACTION,NT53,NT,37.501111,-79.262778,PIEDMONT,1952,112.3
SCOTTSVILLE,3/13/52,17.59,5.36,ACTION,NT53,NT,37.797222,-78.491667,PIEDMONT,1952,240.3
RICHWEST,3/13/52,14.22,4.65,FLOOD,NT53,NT,37.563056,-77.547222,PIEDMONT,1952,354.6
LICKRUN,2/22/53,20.55,6.26,FLOOD,NT54,NT,37.773611,-79.784444,MOUNTAIN,1953,0
BUCHANAN,2/22/53,19.15,5.84,FLOOD,NT54,NT,37.530556,-79.679167,MOUNTAIN,1953,57.7
HOLCOMBROCK,2/22/53,21.63,6.59,ACTION,NT54,NT,37.501111,-79.262778,PIEDMONT,1953,112.3
BENTCREEK,2/22/53,16.07,4.9,FLOOD,NT54,NT,37.536111,-78.829722,PIEDMONT,1953,177.8
RICHWEST,2/24/53,14.45,4.72,FLOOD,NT54,NT,37.563056,-77.547222,PIEDMONT,1953,354.6
SCOTTSVILLE,3/25/53,19.48,5.94,ACTION,NT55,NT,37.797222,-78.491667,PIEDMONT,1953,240.3
CARTERSVILLE,3/26/53,20.9,6.65,FLOOD,NT55,NT,37.670833,-78.086111,PIEDMONT,1953,291
RICHWEST,3/27/53,15.95,5.17,MODERATE,NT55,NT,37.563056,-77.547222,PIEDMONT,1953,354.6
RICHLOCKS,3/27/53,12.7,3.87,FLOOD,NT55,NT,37.525,-77.421111,PIEDMONT,1953,367.3
LICKRUN,3/2/54,18.82,5.74,FLOOD,NT56,NT,37.773611,-79.784444,MOUNTAIN,1954,0
BUCHANAN,3/2/54,18.75,5.72,FLOOD,NT56,NT,37.530556,-79.679167,MOUNTAIN,1954,57.7
